mineral_index,Mineral Name,Derived Strunz Top-Level,Structural Groupname,Crystal Systems,MDS 1,MDS 2,MDS 3
4720,Renardite,08,,,-0.2510971250975993,-0.2554592609050488,0.3465818544313131
4721,Rengeite,09,Chevkinite,monoclinic,0.6374194630494158,-0.06440849566570675,0.0446802755437237
4722,Renierite,02,"Germanite, Diamond-Sphalerite",tetragonal,0.6329076776696383,-0.028051551947808978,0.009561423747233708
4723,Reppiaite,08,,monoclinic,-0.23018958620402907,-0.1600262340112127,0.32588736131913654
4724,Retgersite,07,,tetragonal,-0.36097845533121387,0.2875085578229181,-0.3585425892703532
4725,Retzian-(Ce),08,Retzian,orthorhombic,-0.2277773819808206,-0.1780012008315655,0.3359696530506489
4726,Retzian-(La),08,Retzian,orthorhombic,-0.22628602832440115,-0.17943305293618592,0.3323262843847515
4727,Retzian-(Nd),08,Retzian,orthorhombic,-0.2263136196488066,-0.17931394781845886,0.3323095092024828
4728,Revdite,09,,monoclinic,0.6119163392820391,-0.1983595765509876,0.03901316475330642
4729,Rewitzerite,08,Paulkerrite,monoclinic,-0.25405601840867653,-0.19274372786339378,0.36765816408299057
4730,Reyerite,09,Gyrolite,hexagonal,0.5882813867012519,-0.14219815384932522,0.030131706566242342
4731,Reynoldsite,07,Not in a structural group,triclinic,-0.1645771126884889,-0.09422540902085401,-0.024290895395142592
4732,Reznitskyite,08,Titanite,monoclinic,-0.2546771797133872,0.03280883243845022,0.3267131752521406
4733,Rhabdoborite-(Mo),06,Rhabdoborite,hexagonal,-0.15712035596946483,-0.07679096869613633,-0.0013959739533752121
4734,Rhabdoborite-(V),08,Rhabdoborite,hexagonal,-0.15958308672449073,-0.06291362521103566,-0.0004959053199844114
4735,Rhabdoborite-(W),08,Rhabdoborite,hexagonal,-0.15742485340101492,-0.06956483508589902,0.0003407440436834384
4736,Rhabdophane-(Ce),08,Rhabdophane,hexagonal,-0.3501281741512639,0.3663980008045725,0.3327335730770965
4737,Rhabdophane-(La),08,Rhabdophane,,-0.32933731756291873,0.3459478308398641,0.3099224046001997
4738,Rhabdophane-(Nd),08,Rhabdophane,,-0.329355744359082,0.34636276487250967,0.3098980526186582
4739,Rhabdophane-(Y),08,Rhabdophane,hexagonal,-0.3291819733419352,0.3459220619340474,0.3098231177445213
4740,Rheniite,02,,triclinic,0.6615363306521386,-0.028997290352452423,0.0009904455108395403
4741,Rhodarsenide,02,Barringerite,orthorhombic,0.6826300533382622,0.10029385656160429,-0.00425235450696012
4742,Rhodesite,09,Rhodesite,orthorhombic,0.6024918324995904,-0.05737109902034324,0.020416510260541466
4743,Rhodium,01,Copper,cubic,0.6276432868640769,0.5221696650961463,-0.05522390866712617
4744,Rhodizite,06,Rhodizite,cubic,0.6022067772331217,-0.038600044716157036,0.011501645891602623
4745,Rhodochrosite,05,Calcite,hexagonal,-0.29808698495252356,0.32899538147330787,-0.10741566215711432
4746,Rhodonite,09,Rhodonite,triclinic,0.6059375142655503,-0.011975947843993426,0.03044652134812883
4747,Rhodostannite,02,Spinel,tetragonal,0.6673323310703227,-0.05282860661147032,0.021139125230698337
4748,Rhodplumsite,02,,hexagonal,0.656417218517889,-0.0291362190760898,-0.014906476865559182
4749,Rhomboclase,07,Not in a structural group,orthorhombic,-0.22094059221550075,-0.2819548123477408,-0.24844343733107144
4750,Rhönite,09,Sapphirine,triclinic,0.5858655081043501,-0.04438058439655032,0.03854793827605521
4751,Ribbeite,09,Humite,orthorhombic,-0.1844298337691209,-0.16359877842250076,0.04049357436213686
4752,Richardsite,02,Stannite,tetragonal,0.6313433937120461,-0.020261364809670102,0.020669042131903098
4753,Richardsollyite,02,Richardsollyite,monoclinic,0.666677085808173,-0.02452857469190018,-0.0410871018035413
4754,Richellite,08,,,-0.24350218270902618,-0.12227695160279224,0.3374941486485529
4755,Richelsdorfite,08,,monoclinic,-0.24619589917188883,-0.2093293397176017,0.32020812885035266
