source_index,target_index,neighbor_rank,distance,relationship_category,relationship_description,raw_anion_group,raw_cations,raw_extra_anions,raw_hydration,raw_structural_water,raw_structure,weighted_anion_group,weighted_cations,weighted_extra_anions,weighted_hydration,weighted_structural_water,weighted_structure
4831,2645,10,0.0850764736533165,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.19,0.06147058823529411,0.0,0.0,0.75,0.0,0.0627,0.007376470588235293,0.0,0.0,0.015
4832,3357,1,0.014519999735057354,same_structural_group,Different composition components within the same named structural group.,0.0,0.044000000000000004,0.0,0.0,0.0,0.0,0.0,0.014520000000000002,0.0,0.0,0.0,0.0
4832,1020,2,0.07611999660730362,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.15066666666666662,0.09499999999999997,0.0,0.0,0.75,0.0,0.049719999999999986,0.011399999999999997,0.0,0.0,0.015
4832,5496,3,0.08095714449882507,compositional_subset,One parsed formula feature set is a strict subset of the other.,0.0,0.18999999999999995,0.02714285714285715,0.0,0.0,0.75,0.0,0.06269999999999999,0.0032571428571428578,0.0,0.0,0.015
4832,926,4,0.08434857428073883,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.17066666666666663,0.10857142857142849,0.0,0.0,0.75,0.0,0.056319999999999995,0.013028571428571417,0.0,0.0,0.015
4832,6089,5,0.08910000324249268,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.18999999999999995,0.095,0.0,0.0,0.75,0.0,0.06269999999999999,0.0114,0.0,0.0,0.015
4832,2817,6,0.0940999984741211,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.18999999999999995,0.095,0.0,0.0,1.0,0.0,0.06269999999999999,0.0114,0.0,0.0,0.02
4832,871,7,0.09724285453557968,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.1899999999999999,0.1628571428571428,0.0,0.0,0.75,0.0,0.06269999999999996,0.019542857142857136,0.0,0.0,0.015
4832,6088,8,0.1168999969959259,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.18999999999999995,0.28500000000000003,0.0,0.0,1.0,0.0,0.06269999999999999,0.0342,0.0,0.0,0.02
4832,4334,9,0.1521800011396408,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.366,0.095,0.0,0.0,1.0,0.0,0.12078,0.0114,0.0,0.0,0.02
4832,2818,10,0.16538000106811523,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.4059999999999999,0.095,0.0,0.0,1.0,0.0,0.13398,0.0114,0.0,0.0,0.02
4833,166,1,0.09193778038024902,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.056962962962962944,0.4845,0.0,0.0,0.75,0.0,0.01879777777777777,0.05814,0.0,0.0,0.015
4833,2094,2,0.09529277682304382,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.06712962962962964,0.4845,0.0,0.0,0.75,0.0,0.02215277777777778,0.05814,0.0,0.0,0.015
4833,4914,3,0.09824737906455994,multiple_substitutions,More than one compositional component differs materially.,0.0,0.02437037037037035,0.4844999999999999,0.3413030972429927,0.0,0.75,0.0,0.008042222222222216,0.05813999999999998,0.017065154862149635,0.0,0.015
4833,4659,4,0.09827843308448792,compositional_subset,One parsed formula feature set is a strict subset of the other.,0.0,0.056962962962962944,0.20531951219512193,0.7968463205835412,0.0,0.75,0.0,0.01879777777777777,0.02463834146341463,0.039842316029177066,0.0,0.015
4833,1576,5,0.10849466919898987,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.21111111111111108,0.19856666666666667,0.0,0.0,0.75,0.0,0.06966666666666665,0.023828,0.0,0.0,0.015
4833,3510,6,0.10977466404438019,coupled_substitution,Coordinated cation and residual-anion substitutions in one anion framework.,0.0,0.21111111111111108,0.20923333333333333,0.0,0.0,0.75,0.0,0.06966666666666665,0.025108,0.0,0.0,0.015
4833,4662,7,0.11169182509183884,multiple_substitutions,More than one compositional component differs materially.,0.0,0.06511111111111109,0.4844999999999999,0.3413030972429927,0.0,0.75,0.0,0.02148666666666666,0.05813999999999998,0.017065154862149635,0.0,0.015
4833,4663,8,0.11169182509183884,multiple_substitutions,More than one compositional component differs materially.,0.0,0.06511111111111109,0.4844999999999999,0.3413030972429927,0.0,0.75,0.0,0.02148666666666666,0.05813999999999998,0.017065154862149635,0.0,0.015
4833,4945,9,0.1134716048836708,multiple_substitutions,More than one compositional component differs materially.,0.0,0.056962962962962944,0.4844999999999999,0.43067655807339306,0.0,0.75,0.0,0.01879777777777777,0.05813999999999998,0.021533827903669655,0.0,0.015
4833,4966,10,0.11499622464179993,compositional_subset,One parsed formula feature set is a strict subset of the other.,0.0,0.12185185185185178,0.18781428571428568,0.7449480512024891,0.0,0.75,0.0,0.040211111111111086,0.022537714285714282,0.03724740256012445,0.0,0.015
4834,1409,1,0.014999999664723873,polymorph,Same parsed chemistry and formula water; differentiated by structure only.,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.015
4834,6069,2,0.014999999664723873,polymorph,Same parsed chemistry and formula water; differentiated by structure only.,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.015
4834,5196,3,0.014999999664723873,polymorph,Same parsed chemistry and formula water; differentiated by structure only.,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.015
4834,214,4,0.014999999664723873,polymorph,Same parsed chemistry and formula water; differentiated by structure only.,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.015
4834,2025,5,0.014999999664723873,polymorph,Same parsed chemistry and formula water; differentiated by structure only.,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.015
4834,1393,6,0.014999999664723873,polymorph,Same parsed chemistry and formula water; differentiated by structure only.,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.015
4834,1545,7,0.03779999911785126,extra_anion_analogue,Same cation and oxyanion framework with residual-anion substitution.,0.0,0.0,0.18999999999999995,0.0,0.0,0.75,0.0,0.0,0.022799999999999994,0.0,0.0,0.015
4834,5942,8,0.0414000004529953,extra_anion_analogue,Same cation and oxyanion framework with residual-anion substitution.,0.0,0.0,0.22,0.0,0.0,0.75,0.0,0.0,0.0264,0.0,0.0,0.015
