Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Benavidesite,Pb^2+^_4_Mn^2+^Sb^3+^_6_S^2-^_14_,Pb^2+ Mn^2+ Sb^3+ S^2-,Pb^2+ Mn^2+ Sb^3+ S^2-,Pb Mn Sb S,Pb^2+ Mn^2+ Sb^3+ S^2-,valid,,,
Bendadaite,Fe^2+^Fe^3+^_2_(As^5+^O_4_)_2_(OH)_2_·4H_2_O,Fe^2+ Fe^3+ As^5+ O H,Fe^2+ Fe^3+ As^5+ O H,Fe As O H,Fe^2+ Fe^3+ As^5+ O H,valid,,,
Benitoite,BaTi^4+^Si_3_O_9_,Ba Ti^4+ Si O,Ba Ti^4+ Si O,Ba Ti Si O,Ba Ti^4+ Si O,valid,,,
Benjaminite,Ag_3_Bi_7_S_12_,Ag Bi S,Ag Bi S,Ag Bi S,Ag Bi S,valid,,,
Benleonardite,"Ag^1+^_15_Cu^1+^(Sb^3+^,As^3+^)_2_S^2-^_7_Te^2-^_4_",Ag^1+ Cu^1+ Sb^3+ As^3+ S^2- Te^2-,Ag^1+ Cu^1+ Sb^3+ As^3+ S^2- Te^2-,Ag Cu Sb As S Te,Ag^1+ Cu^1+ Sb^3+ As^3+ S^2- Te^2-,valid,,,
Bennesherite,Ba_2_Fe^2+^Si_2_O_7_,Ba Fe^2+ Si O,Ba Fe^2+ Si O,Ba Fe Si O,Ba Fe^2+ Si O,valid,,,
Benstonite,Ba_6_Ca_6_Mg(CO_3_)_13_,Ba Ca Mg C O,Ba Ca Mg C O,Ba Ca Mg C O,Ba Ca Mg C O,valid,,,
Bentorite,Ca_6_Cr^3+^_2_(S^6+^O_4_)_3_(OH)_12_·26H_2_O,Ca Cr^3+ S^6+ O H,Ca Cr^3+ S^6+ O H,Ca Cr S O H,Ca Cr^3+ S^6+ O H,valid,,,
Benyacarite,(H_2_O)_2_Mn^2+^_2_(Ti^4+^_2_Fe^3+^)(PO_4_)_4_(OF)(H_2_O)_10_·4H_2_O,H O Mn^2+ Ti^4+ Fe^3+ P F,H O Mn^2+ Ti^4+ Fe^3+ P F,H O Mn Ti Fe P F,H O Mn^2+ Ti^4+ Fe^3+ P F,valid,,,
Beraunite,Fe^3+^_6_(PO_4_)_4_O(OH)_4_·6H_2_O,Fe^3+ P O H,Fe^3+ P O H,Fe P O H,Fe^3+ P O H,valid,,,
Berborite,Be_2_BO_3_(OH)·H_2_O,Be B O H,Be B O H,Be B O H,Be B O H,valid,,,
Berdesinskiite,V^3+^_2_Ti^4+^O_5_,V^3+ Ti^4+ O,V^3+ Ti^4+ O,V Ti O,V^3+ Ti^4+ O,valid,,,
Berezanskite,KTi^4+^_2_(Li_3_Si_12_)O_30_,K Ti^4+ Li Si O,K Ti^4+ Li Si O,K Ti Li Si O,K Ti^4+ Li Si O,valid,,,
Bergbauerite,(H_2_O)_2_Mn^2+^_2_(Fe^3+^_2_Ti^4+^)(PO_4_)_4_(OH)_2_(H_2_O)_10_·4H_2_O,H O Mn^2+ Fe^3+ Ti^4+ P,H O Mn^2+ Fe^3+ Ti^4+ P,H O Mn Fe Ti P,H O Mn^2+ Fe^3+ Ti^4+ P,valid,,,
Bergenite,Ca_2_Ba_4_(U^6+^O_2_)_9_O_6_(PO_4_)_6_·16H_2_O,Ca Ba U^6+ O P H,Ca Ba U^6+ O P H,Ca Ba U O P H,Ca Ba U^6+ O P H,valid,,,
Bergslagite,CaBe(As^5+^O_4_)(OH),Ca Be As^5+ O H,Ca Be As^5+ O H,Ca Be As O H,Ca Be As^5+ O H,valid,,,
Berlinite,AlPO_4_,Al P O,Al P O,Al P O,Al P O,valid,,,
Bermanite,Mn^2+^Mn^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O,Mn^2+ Mn^3+ P O H,Mn^2+ Mn^3+ P O H,Mn P O H,Mn^2+ Mn^3+ P O H,valid,,,
Bernalite,Fe^3+^(OH)_3_,Fe^3+ O H,Fe^3+ O H,Fe O H,Fe^3+ O H,valid,,,
Bernardevansite,Al_2_(Se^4+^O_3_)_3_·6H_2_O,Al Se^4+ O H,Al Se^4+ O H,Al Se O H,Al Se^4+ O H,valid,,,
Bernardite,Tl^1+^As^3+^_5_S^2-^_8_,Tl^1+ As^3+ S^2-,Tl^1+ As^3+ S^2-,Tl As S,Tl^1+ As^3+ S^2-,valid,,,
Bernarlottiite,Pb^2+^_12_(As^3+^_10_Sb^3+^_6_)S^2-^_36_,Pb^2+ As^3+ Sb^3+ S^2-,Pb^2+ As^3+ Sb^3+ S^2-,Pb As Sb S,Pb^2+ As^3+ Sb^3+ S^2-,valid,,,
Berndlehmannite,Cu^2+^(Cr^3+^V^3+^)S^2-^_4_,Cu^2+ Cr^3+ V^3+ S^2-,Cu^2+ Cr^3+ V^3+ S^2-,Cu Cr V S,Cu^2+ Cr^3+ V^3+ S^2-,valid,,,
Berndtite,Sn^4+^S^2-^_2_,Sn^4+ S^2-,Sn^4+ S^2-,Sn S,Sn^4+ S^2-,valid,,,
Bernwoodite,Ca_5_Ti^4+^Al_2_Si_2_O_14_,Ca Ti^4+ Al Si O,Ca Ti^4+ Al Si O,Ca Ti Al Si O,Ca Ti^4+ Al Si O,valid,,,
