Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Tlapallite,"(Ca,Pb^2+^)_3_CaCu^2+^_6_[Te^4+^_3_Te^6+^O_12_]_2_(Te^4+^O_3_)_2_(S^6+^O_4_)_2_·3H_2_O",Ca Pb^2+ Cu^2+ Te^4+ Te^6+ O S^6+ H,Ca Pb^2+ Cu^2+ Te^4+ Te^6+ O S^6+ H,Ca Pb Cu Te O S H,Ca Pb^2+ Cu^2+ Te^4+ Te^6+ O S^6+ H,valid,,,
Tobelite,(N^3-^H_4_)Al_2_(Si_3_Al)O_10_(OH)_2_,N^3- H Al Si O,N^3- H Al Si O,N H Al Si O,N^3- H Al Si O,valid,,,
Tobermorite,Ca_5_Si_6_O_16_(OH)_2_·nH_2_O,Ca Si O H,Ca Si O H,Ca Si O H,Ca Si O H,valid,,,
Tochilinite,"6(Fe^2+^_0.9_S^2-^)·5[(Mg,Fe^2+^)(OH)_2_]",Fe^2+ S^2- Mg O H,Fe^2+ S^2- Mg O H,Fe S Mg O H,Fe^2+ S^2- Mg O H,valid,,,
Tocornalite,"(Ag^1+^,Hg^1+^)I^1-^",Ag^1+ Hg^1+ I^1-,Ag^1+ Hg^1+ I^1-,Ag Hg I,Ag^1+ Hg^1+ I^1-,valid,,,
Todorokite,"(Na,Ca,K,Ba,Sr)_1-x_(Mn^4+^,Mn^3+^,Mg,Al)_6_O_12_·3-4H_2_O",Na Ca K Ba Sr Mn^4+ Mn^3+ Mg Al O H,Na Ca K Ba Sr Mn^4+ Mn^3+ Mg Al O H,Na Ca K Ba Sr Mn Mg Al O H,Na Ca K Ba Sr Mn^4+ Mn^3+ Mg Al O H,valid,,,
Tokkoite,K_2_Ca_4_Si_7_O_18_(OH)F,K Ca Si O H F,K Ca Si O H F,K Ca Si O H F,K Ca Si O H F,valid,,,
Tokyoite,Ba_2_Mn^3+^(V^5+^O_4_)_2_(OH),Ba Mn^3+ V^5+ O H,Ba Mn^3+ V^5+ O H,Ba Mn V O H,Ba Mn^3+ V^5+ O H,valid,,,
Tolbachite,Cu^2+^Cl_2_,Cu^2+ Cl,Cu^2+ Cl,Cu Cl,Cu^2+ Cl,valid,,,
Toledoite,TiFeSi,Ti Fe Si,Ti Fe Si,Ti Fe Si,Ti Fe Si,valid,,,
Tolovkite,IrSbS,Ir Sb S,Ir Sb S,Ir Sb S,Ir Sb S,valid,,,
Tolstykhite,Au_3_S_4_Te_6_,Au S Te,Au S Te,Au S Te,Au S Te,valid,,,
Tomamaeite,Cu_3_Pt,Cu Pt,Cu Pt,Cu Pt,Cu Pt,valid,,,
Tombstoneite,(Ca_0.5_Pb^2+^_0.5_)Pb^2+^_3_Cu^2+^_6_Te^6+^_2_O_6_(Te^4+^O_3_)_6_(Se^4+^O_3_)_2_(S^6+^O_4_)_2_·3H_2_O,Ca Pb^2+ Cu^2+ Te^6+ O Te^4+ Se^4+ S^6+ H,Ca Pb^2+ Cu^2+ Te^6+ O Te^4+ Se^4+ S^6+ H,Ca Pb Cu Te O Se S H,Ca Pb^2+ Cu^2+ Te^6+ O Te^4+ Se^4+ S^6+ H,valid,,,
Tomcampbellite,[KCl][Fe^2+^_14_(OH)_6_(PO_4_)_6_(PO_3_OH)_2_],K Cl Fe^2+ O H P,K Cl Fe^2+ O H P,K Cl Fe O H P,K Cl Fe^2+ O H P,valid,,,
Tomichite,V^3+^_4_Ti^4+^_3_As^3+^O_13_(OH),V^3+ Ti^4+ As^3+ O H,V^3+ Ti^4+ As^3+ O H,V Ti As O H,V^3+ Ti^4+ As^3+ O H,valid,,,
Tomiolloite,Al_12_(Te^4+^O_3_)_5_[(S^4+^O_3_)_0.5_(S^6+^O_4_)_0.5_](OH)_24_,Al Te^4+ O S^4+ S^6+ H,Al Te^4+ O S^4+ S^6+ H,Al Te O S H,Al Te^4+ O S^4+ S^6+ H,valid,,,
Tomsquarryite,NaMgAl_3_(PO_4_)_2_(OH)_6_·8H_2_O,Na Mg Al P O H,Na Mg Al P O H,Na Mg Al P O H,Na Mg Al P O H,valid,,,
Tondiite,Cu^2+^_3_MgCl_2_(OH)_6_,Cu^2+ Mg Cl O H,Cu^2+ Mg Cl O H,Cu Mg Cl O H,Cu^2+ Mg Cl O H,valid,,,
Tongbaite,Cr_3_C_2_,Cr C,Cr C,Cr C,Cr C,valid,,,
Tooeleite,Fe^3+^_6_(As^3+^O_3_)_4_S^6+^O_4_(OH)_4_·4H_2_O,Fe^3+ As^3+ O S^6+ H,Fe^3+ As^3+ O S^6+ H,Fe As O S H,Fe^3+ As^3+ O S^6+ H,valid,,,
Topaz,Al_2_SiO_4_F_2_,Al Si O F,Al Si O F,Al Si O F,Al Si O F,valid,,,
Topsøeite,Fe^3+^F_3_(H_2_O)_3_,Fe^3+ F H O,Fe^3+ F H O,Fe F H O,Fe^3+ F H O,valid,,,
Torbernite,Cu^2+^(U^6+^O_2_)_2_(PO_4_)_2_·12H_2_O,Cu^2+ U^6+ O P H,Cu^2+ U^6+ O P H,Cu U O P H,Cu^2+ U^6+ O P H,valid,,,
Törnebohmite-(Ce),Ce^3+^_2_Al(SiO_4_)_2_(OH),Ce^3+ Al Si O H,Ce^3+ Al Si O H,Ce Al Si O H,Ce^3+ Al Si O H,valid,,,
Törnebohmite-(La),La_2_Al(SiO_4_)_2_(OH),La Al Si O H,La Al Si O H,La Al Si O H,La Al Si O H,valid,,,
Törnroosite,Pd_11_As_2_Te_2_,Pd As Te,Pd As Te,Pd As Te,Pd As Te,valid,,,
Torrecillasite,"Na(As^3+^,Sb^3+^)_4_O_6_Cl",Na As^3+ Sb^3+ O Cl,Na As^3+ Sb^3+ O Cl,Na As Sb O Cl,Na As^3+ Sb^3+ O Cl,valid,,,
Torreyite,Mg_9_Zn^2+^_4_(S^6+^O_4_)_2_(OH)_22_·8H_2_O,Mg Zn^2+ S^6+ O H,Mg Zn^2+ S^6+ O H,Mg Zn S O H,Mg Zn^2+ S^6+ O H,valid,,,
Torryweiserite,Rh_5_Ni_10_S_16_,Rh Ni S,Rh Ni S,Rh Ni S,Rh Ni S,valid,,,
Tosudite,"Na_0.5_(Al,Mg)_6_(Si,Al)_8_O_18_(OH)_12_·5H_2_O",Na Al Mg Si O H,Na Al Mg Si O H,Na Al Mg Si O H,Na Al Mg Si O H,valid,,,
Toturite,Ca_3_Sn^4+^_2_(Fe^3+^_2_Si)O_12_,Ca Sn^4+ Fe^3+ Si O,Ca Sn^4+ Fe^3+ Si O,Ca Sn Fe Si O,Ca Sn^4+ Fe^3+ Si O,valid,,,
Tounkite,"(Na,Ca,K)_8_(Si_6_Al_6_)O_24_(S^6+^O_4_)_2_Cl·0.5H_2_O",Na Ca K Si Al O S^6+ Cl H,Na Ca K Si Al O S^6+ Cl H,Na Ca K Si Al O S Cl H,Na Ca K Si Al O S^6+ Cl H,valid,,,
Touretite,LiAl_4_Be_4_(B_11_Be)O_28_,Li Al Be B O,Li Al Be B O,Li Al Be B O,Li Al Be B O,valid,,,
Townendite,Na_8_Zr^4+^Si_6_O_18_,Na Zr^4+ Si O,Na Zr^4+ Si O,Na Zr Si O,Na Zr^4+ Si O,valid,,,
Toyohaite,Ag^1+^(Fe^2+^_0.5_Sn^4+^_1.5_)S^2-^_4_,Ag^1+ Fe^2+ Sn^4+ S^2-,Ag^1+ Fe^2+ Sn^4+ S^2-,Ag Fe Sn S,Ag^1+ Fe^2+ Sn^4+ S^2-,valid,,,
Trabzonite,Ca_4_Si_3_O_9_(OH)_2_,Ca Si O H,Ca Si O H,Ca Si O H,Ca Si O H,valid,,,
Tranquillityite,Fe^2+^_8_Ti^4+^_3_Zr^4+^_2_Si_3_O_24_,Fe^2+ Ti^4+ Zr^4+ Si O,Fe^2+ Ti^4+ Zr^4+ Si O,Fe Ti Zr Si O,Fe^2+ Ti^4+ Zr^4+ Si O,valid,,,
Transjordanite,Ni_2_P,Ni P,Ni P,Ni P,Ni P,valid,,,
Traskite,"Ba_21_Ca(Fe^2+^,Mn^2+^,Ti^4+^)_4_(Ti^4+^,Fe^2+^,Mg)_12_(Si_12_O_36_)(Si_2_O_7_)_6_(O,OH)_30_Cl_6_·14H_2_O",Ba Ca Fe^2+ Mn^2+ Ti^4+ Mg Si O H Cl,Ba Ca Fe^2+ Mn^2+ Ti^4+ Mg Si O H Cl,Ba Ca Fe Mn Ti Mg Si O H Cl,Ba Ca Fe^2+ Mn^2+ Ti^4+ Mg Si O H Cl,valid,,,
Trattnerite,Fe^3+^_2_(Mg_3_Si_12_)O_30_,Fe^3+ Mg Si O,Fe^3+ Mg Si O,Fe Mg Si O,Fe^3+ Mg Si O,valid,,,
Treasurite,Ag_7_Pb_6_Bi_15_S_30_,Ag Pb Bi S,Ag Pb Bi S,Ag Pb Bi S,Ag Pb Bi S,valid,,,
Trébeurdenite,Fe^2+^_2_Fe^3+^_4_O_2_(OH)_10_(CO_3_)·3H_2_O,Fe^2+ Fe^3+ O H C,Fe^2+ Fe^3+ O H C,Fe O H C,Fe^2+ Fe^3+ O H C,valid,,,
Trebiskyite,Na_3_Mg_2_[(Ti^4+^V^5+^_9_)O_28_]·22H_2_O,Na Mg Ti^4+ V^5+ O H,Na Mg Ti^4+ V^5+ O H,Na Mg Ti V O H,Na Mg Ti^4+ V^5+ O H,valid,,,
Trechmannite,Ag^1+^As^3+^S^2-^_2_,Ag^1+ As^3+ S^2-,Ag^1+ As^3+ S^2-,Ag As S,Ag^1+ As^3+ S^2-,valid,,,
Tredouxite,Ni^2+^Sb^5+^_2_O_6_,Ni^2+ Sb^5+ O,Ni^2+ Sb^5+ O,Ni Sb O,Ni^2+ Sb^5+ O,valid,,,
Trembathite,Mg_3_B_7_O_13_Cl,Mg B O Cl,Mg B O Cl,Mg B O Cl,Mg B O Cl,valid,,,
Tremolite,[box]Ca_2_(Mg_5.0-4.5_Fe^2+^_0.0-0.5_)Si_8_O_22_(OH)_2_,Ca Mg Fe^2+ Si O H,Ca Mg Fe^2+ Si O H,Ca Mg Fe Si O H,Ca Mg Fe^2+ Si O H,valid,,,
Trevorite,Ni^2+^Fe^3+^_2_O_4_,Ni^2+ Fe^3+ O,Ni^2+ Fe^3+ O,Ni Fe O,Ni^2+ Fe^3+ O,valid,,,
Triangulite,Al_3_(U^6+^O_2_)_4_(PO_4_)_4_(OH)_5_·5H_2_O,Al U^6+ O P H,Al U^6+ O P H,Al U O P H,Al U^6+ O P H,valid,,,
Triazolite,NaCu^2+^_2_(N_3_C_2_H_2_)^1-^_2_(N^3-^H_3_)_2_Cl_3_·4H_2_O,Na Cu^2+ N C H N^3- Cl O,Na Cu^2+ N C H N^3- Cl O,Na Cu N C H Cl O,Na Cu^2+ N C H N^3- Cl O,valid,,,
Tridymite,SiO_2_,Si O,Si O,Si O,Si O,valid,,,
Trigodomeykite,Cu_3_As,Cu As,Cu As,Cu As,Cu As,valid,,,
Trigonite,Pb^2+^_3_Mn^2+^(As^3+^O_3_)_2_(As^3+^O_2_OH),Pb^2+ Mn^2+ As^3+ O H,Pb^2+ Mn^2+ As^3+ O H,Pb Mn As O H,Pb^2+ Mn^2+ As^3+ O H,valid,,,
Trikalsilite,K_2_Na(AlSiO_4_)_3_,K Na Al Si O,K Na Al Si O,K Na Al Si O,K Na Al Si O,valid,,,
Trilithionite,KLi_1.5_Al_1.5_(Si_3_Al)O_10_F_2_,K Li Al Si O F,K Li Al Si O F,K Li Al Si O F,K Li Al Si O F,valid,,,
Trimerite,CaMn^2+^_2_(BeSiO_4_)_3_,Ca Mn^2+ Be Si O,Ca Mn^2+ Be Si O,Ca Mn Be Si O,Ca Mn^2+ Be Si O,valid,,,
Trimounsite-(Y),Y_2_Ti^4+^_2_SiO_9_,Y Ti^4+ Si O,Y Ti^4+ Si O,Y Ti Si O,Y Ti^4+ Si O,valid,,,
Trinepheline,NaAlSiO_4_,Na Al Si O,Na Al Si O,Na Al Si O,Na Al Si O,valid,,,
Triphylite,LiFe^2+^PO_4_,Li Fe^2+ P O,Li Fe^2+ P O,Li Fe P O,Li Fe^2+ P O,valid,,,
Triplite,Mn^2+^_2_(PO_4_)F,Mn^2+ P O F,Mn^2+ P O F,Mn P O F,Mn^2+ P O F,valid,,,
Triploidite,Mn^2+^_2_(PO_4_)(OH),Mn^2+ P O H,Mn^2+ P O H,Mn P O H,Mn^2+ P O H,valid,,,
Trippkeite,Cu^2+^As^3+^_2_O_4_,Cu^2+ As^3+ O,Cu^2+ As^3+ O,Cu As O,Cu^2+ As^3+ O,valid,,,
Tripuhyite,Fe^3+^Sb^5+^O_4_,Fe^3+ Sb^5+ O,Fe^3+ Sb^5+ O,Fe Sb O,Fe^3+ Sb^5+ O,valid,,,
Tristramite,"(Ca,U^4+^,Fe^3+^)(PO_4_,S^6+^O_4_)·2H_2_O",Ca U^4+ Fe^3+ P O S^6+ H,Ca U^4+ Fe^3+ P O S^6+ H,Ca U Fe P O S H,Ca U^4+ Fe^3+ P O S^6+ H,valid,,,
Tritomite-(Ce),"Ce^3+^_5_(SiO_4_,BO_4_)_3_(OH,O)",Ce^3+ Si O B H,Ce^3+ Si O B H,Ce Si O B H,Ce^3+ Si O B H,valid,,,
Tritomite-(Y),"Y_5_(SiO_4_,BO_4_)_3_(O,OH,F)",Y Si O B H F,Y Si O B H F,Y Si O B H F,Y Si O B H F,valid,,,
Trögerite,(H_3_O)(U^6+^O_2_)(As^5+^O_4_)·3H_2_O,H O U^6+ As^5+,H O U^6+ As^5+,H O U As,H O U^6+ As^5+,valid,,,
Trogtalite,Co^2+^(Se_2_)^2-^,Co^2+ Se,Co^2+ Se,Co Se,Co^2+ Se,valid,,,
Troilite,Fe^2+^S^2-^,Fe^2+ S^2-,Fe^2+ S^2-,Fe S,Fe^2+ S^2-,valid,,,
Trolleite,Al_4_(PO_4_)_3_(OH)_3_,Al P O H,Al P O H,Al P O H,Al P O H,valid,,,
Trona,Na_3_(HCO_3_)(CO_3_)·2H_2_O,Na H C O,Na H C O,Na H C O,Na H C O,valid,,,
Truscottite,Ca_14_Si_24_O_58_(OH)_8_·2H_2_O,Ca Si O H,Ca Si O H,Ca Si O H,Ca Si O H,valid,,,
Trüstedtite,Ni^2+^Ni^3+^_2_Se^2-^_4_,Ni^2+ Ni^3+ Se^2-,Ni^2+ Ni^3+ Se^2-,Ni Se,Ni^2+ Ni^3+ Se^2-,valid,,,
Tsangpoite,Ca_5_(PO_4_)_2_(SiO_4_),Ca P O Si,Ca P O Si,Ca P O Si,Ca P O Si,valid,,,
Tsaregorodtsevite,(N(CH_3_)_4_)^1+^Si_4_(SiAl)O_12_,N C H Si Al O,N C H Si Al O,N C H Si Al O,N C H Si Al O,valid,,,
Tschaunerite,(Fe^2+^)(Fe^2+^Ti^4+^)O_4_,Fe^2+ Ti^4+ O,Fe^2+ Ti^4+ O,Fe Ti O,Fe^2+ Ti^4+ O,valid,,,
Tschermakite,[box]Ca_2_(Mg_3_Al_2_)Si_6_Al_2_O_22_(OH)_2_,Ca Mg Al Si O H,Ca Mg Al Si O H,Ca Mg Al Si O H,Ca Mg Al Si O H,valid,,,
Tschermigite,N^3-^H_4_Al(S^6+^O_4_)_2_·12H_2_O,N^3- H Al S^6+ O,N^3- H Al S^6+ O,N H Al S O,N^3- H Al S^6+ O,valid,,,
Tschernichite,CaAl_2_Si_6_O_16_·8H_2_O,Ca Al Si O H,Ca Al Si O H,Ca Al Si O H,Ca Al Si O H,valid,,,
Tschörtnerite,"Ca_4_(K,Ca,Sr,Ba)_3_Cu^2+^_3_Al_12_Si_12_O_48_(OH)_8_·20H_2_O",Ca K Sr Ba Cu^2+ Al Si O H,Ca K Sr Ba Cu^2+ Al Si O H,Ca K Sr Ba Cu Al Si O H,Ca K Sr Ba Cu^2+ Al Si O H,valid,,,
Tsepinite-Ca,"(Ca,K,Na)_2-x_(Ti^4+^,Nb^5+^)_2_Si_4_O_12_(OH,O)_2_·4H_2_O",Ca K Na Ti^4+ Nb^5+ Si O H,Ca K Na Ti^4+ Nb^5+ Si O H,Ca K Na Ti Nb Si O H,Ca K Na Ti^4+ Nb^5+ Si O H,valid,,,
Tsepinite-K,"(K,Ba,Na)_2_(Ti^4+^,Nb^5+^)_2_Si_4_O_12_(OH,O)_2_·3H_2_O",K Ba Na Ti^4+ Nb^5+ Si O H,K Ba Na Ti^4+ Nb^5+ Si O H,K Ba Na Ti Nb Si O H,K Ba Na Ti^4+ Nb^5+ Si O H,valid,,,
Tsepinite-Na,"(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti^4+^,Nb^5+^)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O",Na H O K Sr Ba Ti^4+ Nb^5+ Si,Na H O K Sr Ba Ti^4+ Nb^5+ Si,Na H O K Sr Ba Ti Nb Si,Na H O K Sr Ba Ti^4+ Nb^5+ Si,valid,,,
Tsepinite-Sr,"(Sr,Ba,K)(Ti^4+^,Nb^5+^)_2_Si_4_O_12_(OH,O)_2_·3H_2_O",Sr Ba K Ti^4+ Nb^5+ Si O H,Sr Ba K Ti^4+ Nb^5+ Si O H,Sr Ba K Ti Nb Si O H,Sr Ba K Ti^4+ Nb^5+ Si O H,valid,,,
Tsikourasite,Mo_3_Ni_2_P_1+x_ (x < 0.25),Mo Ni P,Mo Ni P,Mo Ni P,Mo Ni P,valid,,,
Tsilaisite,NaMn^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH,Na Mn^2+ Al Si O B H,Na Mn^2+ Al Si O B H,Na Mn Al Si O B H,Na Mn^2+ Al Si O B H,valid,,,
Tsnigriite,Ag_9_SbTe_3_S_3_,Ag Sb Te S,Ag Sb Te S,Ag Sb Te S,Ag Sb Te S,valid,,,
Tsugaruite,Pb^2+^_28_As^3+^_15_S^2-^_50_Cl,Pb^2+ As^3+ S^2- Cl,Pb^2+ As^3+ S^2- Cl,Pb As S Cl,Pb^2+ As^3+ S^2- Cl,valid,,,
Tsumcorite,Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_·2H_2_O,Pb^2+ Zn^2+ As^5+ O H,Pb^2+ Zn^2+ As^5+ O H,Pb Zn As O H,Pb^2+ Zn^2+ As^5+ O H,valid,,,
Tsumebite,Pb^2+^_2_Cu^2+^(PO_4_)(S^6+^O_4_)(OH),Pb^2+ Cu^2+ P O S^6+ H,Pb^2+ Cu^2+ P O S^6+ H,Pb Cu P O S H,Pb^2+ Cu^2+ P O S^6+ H,valid,,,
Tsumgallite,GaOOH,Ga O H,Ga O H,Ga O H,Ga O H,valid,,,
Tsumoite,BiTe,Bi Te,Bi Te,Bi Te,Bi Te,valid,,,
Tsygankoite,Mn^2+^_8_Tl^1+^_8_Hg^2+^_2_(Sb^3+^_21_Pb^2+^_2_Tl^1+^)S^2-^_48_,Mn^2+ Tl^1+ Hg^2+ Sb^3+ Pb^2+ S^2-,Mn^2+ Tl^1+ Hg^2+ Sb^3+ Pb^2+ S^2-,Mn Tl Hg Sb Pb S,Mn^2+ Tl^1+ Hg^2+ Sb^3+ Pb^2+ S^2-,valid,,,
Tubulite,Ag^1+^_2_Pb^2+^_22_Sb^3+^_20_S^2-^_53_,Ag^1+ Pb^2+ Sb^3+ S^2-,Ag^1+ Pb^2+ Sb^3+ S^2-,Ag Pb Sb S,Ag^1+ Pb^2+ Sb^3+ S^2-,valid,,,
Tučekite,Ni_9_Sb_2_S_8_,Ni Sb S,Ni Sb S,Ni Sb S,Ni Sb S,valid,,,
Tugarinovite,Mo^4+^O_2_,Mo^4+ O,Mo^4+ O,Mo O,Mo^4+ O,valid,,,
Tugtupite,Na_4_BeAlSi_4_O_12_Cl,Na Be Al Si O Cl,Na Be Al Si O Cl,Na Be Al Si O Cl,Na Be Al Si O Cl,valid,,,
Tuhualite,NaFe^2+^Fe^3+^Si_6_O_15_,Na Fe^2+ Fe^3+ Si O,Na Fe^2+ Fe^3+ Si O,Na Fe Si O,Na Fe^2+ Fe^3+ Si O,valid,,,
Tuite,Ca_3_(PO_4_)_2_,Ca P O,Ca P O,Ca P O,Ca P O,valid,,,
Tulameenite,Pt_2_CuFe,Pt Cu Fe,Pt Cu Fe,Pt Cu Fe,Pt Cu Fe,valid,,,
Tuliokite,Na_6_BaTh^4+^(CO_3_)_6_·6H_2_O,Na Ba Th^4+ C O H,Na Ba Th^4+ C O H,Na Ba Th C O H,Na Ba Th^4+ C O H,valid,,,
Tululite,"Ca_14_(Fe^3+^,Al)(Al,Zn^2+^,Fe^3+^,Si,P,Mn^3+^,Mg)_15_O_36_",Ca Fe^3+ Al Zn^2+ Si P Mn^3+ Mg O,Ca Fe^3+ Al Zn^2+ Si P Mn^3+ Mg O,Ca Fe Al Zn Si P Mn Mg O,Ca Fe^3+ Al Zn^2+ Si P Mn^3+ Mg O,valid,,,
Tumchaite,Na_2_Zr^4+^Si_4_O_11_·2H_2_O,Na Zr^4+ Si O H,Na Zr^4+ Si O H,Na Zr Si O H,Na Zr^4+ Si O H,valid,,,
Tundrite-(Ce),Na_2_Ce^3+^_2_Ti^4+^O_2_SiO_4_(CO_3_)_2_,Na Ce^3+ Ti^4+ O Si C,Na Ce^3+ Ti^4+ O Si C,Na Ce Ti O Si C,Na Ce^3+ Ti^4+ O Si C,valid,,,
Tundrite-(Nd),Na_2_Nd_2_Ti^4+^O_2_(SiO_4_)(CO_3_)_2_,Na Nd Ti^4+ O Si C,Na Nd Ti^4+ O Si C,Na Nd Ti O Si C,Na Nd Ti^4+ O Si C,valid,,,
Tunellite,SrB_6_O_9_(OH)_2_·3H_2_O,Sr B O H,Sr B O H,Sr B O H,Sr B O H,valid,,,
Tungsten,W,W,W,W,W,valid,,,
Tungstenite,W^4+^S^2-^_2_,W^4+ S^2-,W^4+ S^2-,W S,W^4+ S^2-,valid,,,
Tungstibite,Sb^3+^_2_W^6+^O_6_,Sb^3+ W^6+ O,Sb^3+ W^6+ O,Sb W O,Sb^3+ W^6+ O,valid,,,
Tungstite,W^6+^O_3_·H_2_O,W^6+ O H,W^6+ O H,W O H,W^6+ O H,valid,,,
Tungusite,Ca_14_Fe^2+^_9_Si_24_O_60_(OH)_22_,Ca Fe^2+ Si O H,Ca Fe^2+ Si O H,Ca Fe Si O H,Ca Fe^2+ Si O H,valid,,,
Tunisite,NaCa_2_Al_4_(CO_3_)_4_(OH)_8_Cl,Na Ca Al C O H Cl,Na Ca Al C O H Cl,Na Ca Al C O H Cl,Na Ca Al C O H Cl,valid,,,
Tuperssuatsiaite,"Na_2_(Fe^3+^,Mn^2+^)_3_Si_8_O_20_(OH)_2_·4H_2_O",Na Fe^3+ Mn^2+ Si O H,Na Fe^3+ Mn^2+ Si O H,Na Fe Mn Si O H,Na Fe^3+ Mn^2+ Si O H,valid,,,
Turanite,Cu^2+^_5_(V^5+^O_4_)_2_(OH)_4_,Cu^2+ V^5+ O H,Cu^2+ V^5+ O H,Cu V O H,Cu^2+ V^5+ O H,valid,,,
Turkestanite,"(K,[box])(Ca,Na)_2_Th^4+^Si_8_O_20_·nH_2_O",K Ca Na Th^4+ Si O H,K Ca Na Th^4+ Si O H,K Ca Na Th Si O H,K Ca Na Th^4+ Si O H,valid,,,
Turneaureite,Ca_5_(As^5+^O_4_)_3_Cl,Ca As^5+ O Cl,Ca As^5+ O Cl,Ca As O Cl,Ca As^5+ O Cl,valid,,,
Turquoise,Cu^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O,Cu^2+ Al P O H,Cu^2+ Al P O H,Cu Al P O H,Cu^2+ Al P O H,valid,,,
Turtmannite,Mn^2+^_25_O_5_(V^5+^O_4_)_3_(SiO_4_)_3_(OH)_20_,Mn^2+ O V^5+ Si H,Mn^2+ O V^5+ Si H,Mn O V Si H,Mn^2+ O V^5+ Si H,valid,,,
Tuscanite,"KCa_6_(Si,Al)_10_O_22_(S^6+^O_4_,CO_3_)_2_(OH)·H_2_O",K Ca Si Al O S^6+ C H,K Ca Si Al O S^6+ C H,K Ca Si Al O S C H,K Ca Si Al O S^6+ C H,valid,,,
Tusionite,Mn^2+^Sn^4+^(BO_3_)_2_,Mn^2+ Sn^4+ B O,Mn^2+ Sn^4+ B O,Mn Sn B O,Mn^2+ Sn^4+ B O,valid,,,
Tuzlaite,NaCaB_5_O_8_(OH)_2_·3H_2_O,Na Ca B O H,Na Ca B O H,Na Ca B O H,Na Ca B O H,valid,,,
Tvalchrelidzeite,Hg^2+^_3_Sb^3+^As^3-^S^2-^_3_,Hg^2+ Sb^3+ As^3- S^2-,Hg^2+ Sb^3+ As^3- S^2-,Hg Sb As S,Hg^2+ Sb^3+ As^3- S^2-,valid,,,
Tvedalite,Ca_4_Be_3_Si_6_O_17_(OH)_4_·3H_2_O,Ca Be Si O H,Ca Be Si O H,Ca Be Si O H,Ca Be Si O H,valid,,,
Tveitite-(Y),"(Y,Na)_6_(Ca,Na,Y,REE)_12_(Ca,Na)F_42_",Y Na Ca REE F,Y Na Ca REE F,Y Na Ca REE F,Y Na Ca REE F,valid,,,
Tvrdýite,Fe^2+^Fe^3+^_2_Al_3_(PO_4_)_4_(OH)_5_(H_2_O)_4_·2H_2_O,Fe^2+ Fe^3+ Al P O H,Fe^2+ Fe^3+ Al P O H,Fe Al P O H,Fe^2+ Fe^3+ Al P O H,valid,,,
Tweddillite,CaSrMn^3+^_2_Al(Si_2_O_7_)(SiO_4_)O(OH),Ca Sr Mn^3+ Al Si O H,Ca Sr Mn^3+ Al Si O H,Ca Sr Mn Al Si O H,Ca Sr Mn^3+ Al Si O H,valid,,,
Twinnite,Pb^2+^Sb^3+^As^3+^S^2-^_4_,Pb^2+ Sb^3+ As^3+ S^2-,Pb^2+ Sb^3+ As^3+ S^2-,Pb Sb As S,Pb^2+ Sb^3+ As^3+ S^2-,valid,,,
Tychite,Na_6_Mg_2_(CO_3_)_4_(S^6+^O_4_),Na Mg C O S^6+,Na Mg C O S^6+,Na Mg C O S,Na Mg C O S^6+,valid,,,
Tyretskite,Ca_2_B_5_O_9_(OH)·H_2_O,Ca B O H,Ca B O H,Ca B O H,Ca B O H,valid,,,
Tyrolite,Ca_2_Cu^2+^_9_(As^5+^O_4_)_4_(CO_3_)(OH)_8_·11H_2_O,Ca Cu^2+ As^5+ O C H,Ca Cu^2+ As^5+ O C H,Ca Cu As O C H,Ca Cu^2+ As^5+ O C H,valid,,,
Tyrrellite,"Cu^2+^(Co^3+^,Ni^3+^)_2_Se^2-^_4_",Cu^2+ Co^3+ Ni^3+ Se^2-,Cu^2+ Co^3+ Ni^3+ Se^2-,Cu Co Ni Se,Cu^2+ Co^3+ Ni^3+ Se^2-,valid,,,
Tyuyamunite,Ca(U^6+^O_2_)_2_(V^5+^O_4_)_2_·5-8H_2_O,Ca U^6+ O V^5+ H,Ca U^6+ O V^5+ H,Ca U O V H,Ca U^6+ O V^5+ H,valid,,,
Tzeferisite,CaZn^2+^_8_(S^6+^O_4_)_2_(OH)_12_Cl_2_(H_2_O)_9_,Ca Zn^2+ S^6+ O H Cl,Ca Zn^2+ S^6+ O H Cl,Ca Zn S O H Cl,Ca Zn^2+ S^6+ O H Cl,valid,,,
Uakitite,V^3+^N^3-^,V^3+ N^3-,V^3+ N^3-,V N,V^3+ N^3-,valid,,,
Uchucchacuaite,Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_,Ag^1+ Mn^2+ Pb^2+ Sb^3+ S^2-,Ag^1+ Mn^2+ Pb^2+ Sb^3+ S^2-,Ag Mn Pb Sb S,Ag^1+ Mn^2+ Pb^2+ Sb^3+ S^2-,valid,,,
Udinaite,NaMg_4_(V^5+^O_4_)_3_,Na Mg V^5+ O,Na Mg V^5+ O,Na Mg V O,Na Mg V^5+ O,valid,,,
