Mineral Name,Mineral Name (plain),Mineral Name (HTML),Valence Chemistry,Valence Chemistry (concise),Valence Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,RRUFF IDs,Database ID,Year First Published,IMA Status,Structural Groupname,Crystal Systems,Space Groups,Valence Elements,IMA Mineral Symbol,Paragenetic Modes
Wicksite,Wicksite,Wicksite,"NaCa2Fe2+2(Fe3+,Mn2+,Fe2+)4(PO4)6·2H2O","NaCa_2_Fe^2+^_2_(Fe^3+^,Mn^2+^,Fe^2+^)_4_(PO_4_)_6_·2H_2_O","NaCa<sub>2</sub>Fe<sup>2+</sup><sub>2</sub>(Fe<sup>3+</sup>,Mn<sup>2+</sup>,Fe<sup>2+</sup>)<sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>·2H<sub>2</sub>O","NaCa<sub>2</sub>Fe<sup>2+</sup><sub>2</sub>(Fe<sup>3+</sup>,Mn<sup>2+</sup>,Fe<sup>2+</sup>)<sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>·2H<sub>2</sub>O",Na Ca Fe Mn P O H,,4694,1979,Approved,Wicksite,orthorhombic,Pcab,Na Ca Fe^2+ Fe^3+ Mn^2+ P O H,Wic,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Widenmannite,Widenmannite,Widenmannite,Pb2+2U6+O2(CO3)2(OH)2,Pb^2+^_2_U^6+^O_2_(CO_3_)_2_(OH)_2_,Pb<sup>2+</sup><sub>2</sub>U<sup>6+</sup>O<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Pb<sub>2</sub>(OH)<sub>2</sub>[(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>2</sub>],Pb O H U C,,4695,1961,Approved,,orthorhombic,"Pnmm, Pmmn",Pb^2+ U^6+ O C H,Wdm,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Widgiemoolthalite,Widgiemoolthalite,Widgiemoolthalite,Ni2+5(CO3)4(OH)2·4-5H2O,Ni^2+^_5_(CO_3_)_4_(OH)_2_·4-5H_2_O,Ni<sup>2+</sup><sub>5</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>2</sub>·4-5H<sub>2</sub>O,Ni<sub>5</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>2</sub>·4-5H<sub>2</sub>O,Ni C O H,,4696,1992,Approved,,monoclinic,,Ni^2+ C O H,Wmo,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Wightmanite,Wightmanite,Wightmanite,Mg5O(BO3)(OH)5·2H2O,Mg_5_O(BO_3_)(OH)_5_·2H_2_O,Mg<sub>5</sub>O(BO<sub>3</sub>)(OH)<sub>5</sub>·2H<sub>2</sub>O,Mg<sub>5</sub>O(BO<sub>3</sub>)(OH)<sub>5</sub>·2H<sub>2</sub>O,Mg O B H,,4697,1962,Approved,,monoclinic,I2/m,Mg O B H,Wmn,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
Wiklundite,Wiklundite,Wiklundite,"Pb2+2(Mn2+,Zn2+)3(Fe3+,Mn2+)2(Mn2+,Mg)19(As3+O3)2(Si,As5+O4)6(OH)18Cl6","Pb^2+^_2_(Mn^2+^,Zn^2+^)_3_(Fe^3+^,Mn^2+^)_2_(Mn^2+^,Mg)_19_(As^3+^O_3_)_2_(Si,As^5+^O_4_)_6_(OH)_18_Cl_6_","Pb<sup>2+</sup><sub>2</sub>(Mn<sup>2+</sup>,Zn<sup>2+</sup>)<sub>3</sub>(Fe<sup>3+</sup>,Mn<sup>2+</sup>)<sub>2</sub>(Mn<sup>2+</sup>,Mg)<sub>19</sub>(As<sup>3+</sup>O<sub>3</sub>)<sub>2</sub>(Si,As<sup>5+</sup>O<sub>4</sub>)<sub>6</sub>(OH)<sub>18</sub>Cl<sub>6</sub>","Pb<sub>2</sub>(Mn<sup>2+</sup>,Zn)<sub>3</sub>(Fe<sup>3+</sup>,Mn<sup>2+</sup>)<sub>2</sub>(Mn<sup>2+</sup>,Mg)<sub>19</sub>(As<sup>3+</sup>O<sub>3</sub>)<sub>2</sub>[(Si,As<sup>5+</sup>)O<sub>4</sub>]<sub>6</sub>(OH)<sub>18</sub>Cl<sub>6</sub>",Pb Mn Zn Fe Mg As O Si H Cl,,6457,2015,Approved,Not in a structural group,hexagonal,R3c,Pb^2+ Mn^2+ Zn^2+ Fe^3+ Mg As^3+ O Si As^5+ H Cl,Wik,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Wilancookite,Wilancookite,Wilancookite,(Ba5Li2☐)Ba6Be24P24O96·26H2O,(Ba_5_Li_2_[box])Ba_6_Be_24_P_24_O_96_·26H_2_O,(Ba<sub>5</sub>Li<sub>2</sub>☐)Ba<sub>6</sub>Be<sub>24</sub>P<sub>24</sub>O<sub>96</sub>·26H<sub>2</sub>O,(Ba<sub>5</sub>Li<sub>2</sub>☐)Ba<sub>6</sub>Be<sub>24</sub>P<sub>24</sub>O<sub>96</sub>·26H<sub>2</sub>O,Ba Li Be P O H,,6442,2015,Approved,,cubic,I23,Ba Li Be P O H,Wck,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Wilcoxite,Wilcoxite,Wilcoxite,MgAl(S6+O4)2F·18H2O,MgAl(S^6+^O_4_)_2_F·18H_2_O,MgAl(S<sup>6+</sup>O<sub>4</sub>)<sub>2</sub>F·18H<sub>2</sub>O,MgAl(SO<sub>4</sub>)<sub>2</sub>F·17H<sub>2</sub>O,Mg Al S O F H,,4698,1979,Approved,Aubertite,triclinic,P1,Mg Al S^6+ O F H,Wcx,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Wildcatite,Wildcatite,Wildcatite,CaFe3+Te6+O5(OH),CaFe^3+^Te^6+^O_5_(OH),CaFe<sup>3+</sup>Te<sup>6+</sup>O<sub>5</sub>(OH),CaFe<sup>3+</sup>Te<sup>6+</sup>O<sub>5</sub>(OH),Ca Fe Te O H,,7030,2020,Approved,Not in a structural group,hexagonal,P31m,Ca Fe^3+ Te^6+ O H,Wct,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Wildenauerite,Wildenauerite,Wildenauerite,Zn2+(Fe3+0.5Mn2+0.5)2Mn2+Fe3+(PO4)3(OH)3(H2O)8,Zn^2+^(Fe^3+^_0.5_Mn^2+^_0.5_)_2_Mn^2+^Fe^3+^(PO_4_)_3_(OH)_3_(H_2_O)_8_,Zn<sup>2+</sup>(Fe<sup>3+</sup><sub>0.5</sub>Mn<sup>2+</sup><sub>0.5</sub>)<sub>2</sub>Mn<sup>2+</sup>Fe<sup>3+</sup>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>3</sub>(H<sub>2</sub>O)<sub>8</sub>,Zn(Fe<sup>3+</sup><sub>0.5</sub>Mn<sup>2+</sup><sub>0.5</sub>)<sub>2</sub>Mn<sup>2+</sup>Fe<sup>3+</sup>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>3</sub>(H<sub>2</sub>O)<sub>8</sub>,Zn Fe Mn P O H,,6696,2017,Approved,Calcioferrite,orthorhombic,Pmab,Zn^2+ Fe^3+ Mn^2+ P O H,Wda,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Wilhelmgümbelite,Wilhelmgumbelite,Wilhelmgümbelite,Zn2+Fe2+Fe3+3(PO4)3(OH)4(H2O)5·2H2O,Zn^2+^Fe^2+^Fe^3+^_3_(PO_4_)_3_(OH)_4_(H_2_O)_5_·2H_2_O,Zn<sup>2+</sup>Fe<sup>2+</sup>Fe<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>5</sub>·2H<sub>2</sub>O,[ZnFe<sup>2+</sup>Fe<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>5</sub>]·2H<sub>2</sub>O,Zn Fe P O H,,6483,2015,Approved,Calcioferrite-Schoonerite,orthorhombic,Pmab,Zn^2+ Fe^2+ Fe^3+ P O H,Wgü,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Wilhelmkleinite,Wilhelmkleinite,Wilhelmkleinite,Zn2+Fe3+2(As5+O4)2(OH)2,Zn^2+^Fe^3+^_2_(As^5+^O_4_)_2_(OH)_2_,Zn<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,ZnFe<sup>3+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,Zn Fe As O H,,4699,1997,Approved,,monoclinic,P21/n,Zn^2+ Fe^3+ As^5+ O H,Wkl,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Wilhelmramsayite,Wilhelmramsayite,Wilhelmramsayite,Cu3FeS3·2H2O,Cu_3_FeS_3_·2H_2_O,Cu<sub>3</sub>FeS<sub>3</sub>·2H<sub>2</sub>O,Cu<sub>3</sub>FeS<sub>3</sub>·2H<sub>2</sub>O,Cu Fe S H O,,5286,2004,Approved,,orthorhombic,Pmmm,Cu Fe S H O,Wrm,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
Wilhelmvierlingite,Wilhelmvierlingite,Wilhelmvierlingite,CaMn2+Fe3+(PO4)2(OH)·2H2O,CaMn^2+^Fe^3+^(PO_4_)_2_(OH)·2H_2_O,CaMn<sup>2+</sup>Fe<sup>3+</sup>(PO<sub>4</sub>)<sub>2</sub>(OH)·2H<sub>2</sub>O,CaMn<sup>2+</sup>Fe<sup>3+</sup>(PO<sub>4</sub>)<sub>2</sub>(OH)·2H<sub>2</sub>O,Ca Mn Fe P O H,,4700,1982,Approved,Overite,orthorhombic,,Ca Mn^2+ Fe^3+ P O H,Wvl,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Wilkinsonite,Wilkinsonite,Wilkinsonite,Na4(Fe2+8Fe3+4)O4[Si12O36],Na_4_(Fe^2+^_8_Fe^3+^_4_)O_4_[Si_12_O_36_],Na<sub>4</sub>(Fe<sup>2+</sup><sub>8</sub>Fe<sup>3+</sup><sub>4</sub>)O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>],Na<sub>4</sub>[Fe<sup>2+</sup><sub>8</sub>Fe<sup>3+</sup><sub>4</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>],Na Fe O Si,,4701,1988,Approved,Sapphirine,triclinic,P1,Na Fe^2+ Fe^3+ O Si,Wkn,"Abiotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Wilkmanite,Wilkmanite,Wilkmanite,Ni3Se4,Ni_3_Se_4_,Ni<sub>3</sub>Se<sub>4</sub>,Ni<sub>3</sub>Se<sub>4</sub>,Ni Se,,4702,1964,Approved,Wilkmanite,monoclinic,"C2/m, I2/m",Ni Se,Wkm,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Willemite,Willemite,Willemite,Zn2+2SiO4,Zn^2+^_2_SiO_4_,Zn<sup>2+</sup><sub>2</sub>SiO<sub>4</sub>,Zn<sub>2</sub>SiO<sub>4</sub>,Zn Si O,,4703,1830,"Approved, Grandfathered",Phenakite,"hexagonal, tetragonal","R3, I42d",Zn^2+ Si O,Wlm,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Willemseite,Willemseite,Willemseite,Ni2+3Si4O10(OH)2,Ni^2+^_3_Si_4_O_10_(OH)_2_,Ni<sup>2+</sup><sub>3</sub>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>,Ni<sub>3</sub>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>,Ni Si O H,,4704,1969,Approved,"Clay, Talc",monoclinic,,Ni^2+ Si O H,Wls,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Willhendersonite,Willhendersonite,Willhendersonite,KCa(Si3Al3)O12·5H2O,KCa(Si_3_Al_3_)O_12_·5H_2_O,KCa(Si<sub>3</sub>Al<sub>3</sub>)O<sub>12</sub>·5H<sub>2</sub>O,KCa(Si<sub>3</sub>Al<sub>3</sub>)O<sub>12</sub>·5H<sub>2</sub>O,K Ca Si Al O H,,4705,1981,Approved,Chabazite,triclinic,P1,K Ca Si Al O H,Whd,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
Willyamite,Willyamite,Willyamite,Co3+(SbS)3-,Co^3+^(SbS)^3-^,Co<sup>3+</sup>(SbS)<sup>3-</sup>,CoSbS,Co Sb S,,4706,1893,"Approved, Redefined",Cobaltite,orthorhombic,Pca21,Co^3+ Sb S,Wly,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Wiluite,Wiluite,Wiluite,"Ca19(Al,Mg)13(B,☐,Al)5(SiO4)10(Si2O7)4(O,OH)10","Ca_19_(Al,Mg)_13_(B,[box],Al)_5_(SiO_4_)_10_(Si_2_O_7_)_4_(O,OH)_10_","Ca<sub>19</sub>(Al,Mg)<sub>13</sub>(B,☐,Al)<sub>5</sub>(SiO<sub>4</sub>)<sub>10</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>4</sub>(O,OH)<sub>10</sub>","Ca<sub>19</sub>(Al,Mg)<sub>13</sub>(B,☐,Al)<sub>5</sub>(SiO<sub>4</sub>)<sub>10</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>4</sub>(O,OH)<sub>10</sub>",Ca Al Mg B Si O H,,4707,1997,Approved,Vesuvianite,tetragonal,P4/nnc,Ca Al Mg B Si O H,Wil,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
Winchite,Winchite,Winchite,☐NaCa(Mg4Al)Si8O22(OH)2,[box]NaCa(Mg_4_Al)Si_8_O_22_(OH)_2_,☐NaCa(Mg<sub>4</sub>Al)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,☐(NaCa)(Mg<sub>4</sub>Al)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,Na Ca Mg Al Si O H,,4708,1906,"Approved, Redefined",Amphibole,monoclinic,C2/m,Na Ca Mg Al Si O H,Wnc,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism"
Windhoekite,Windhoekite,Windhoekite,Ca2Fe3+2.67(Si8O20)(OH)4·10H2O,Ca_2_Fe^3+^_2.67_(Si_8_O_20_)(OH)_4_·10H_2_O,Ca<sub>2</sub>Fe<sup>3+</sup><sub>2.67</sub>(Si<sub>8</sub>O<sub>20</sub>)(OH)<sub>4</sub>·10H<sub>2</sub>O,Ca<sub>2</sub>Fe<sup>3+</sup><sub>3-x</sub>[Si<sub>8</sub>O<sub>20</sub>](OH)<sub>4</sub>·10H<sub>2</sub>O,Ca Fe Si O H,,5926,2010,Approved,Palygorskite,monoclinic,C2/m,Ca Fe^3+ Si O H,Whk,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Windmountainite,Windmountainite,Windmountainite,☐Fe3+2Mg2Si8O20(OH)2·8H2O,[box]Fe^3+^_2_Mg_2_Si_8_O_20_(OH)_2_·8H_2_O,☐Fe<sup>3+</sup><sub>2</sub>Mg<sub>2</sub>Si<sub>8</sub>O<sub>20</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,☐Fe<sup>3+</sup><sub>2</sub>Mg<sub>2</sub>Si<sub>8</sub>O<sub>20</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Fe Mg Si O H,,6932,2019,Approved,"Clay, Palygorskite",monoclinic,C2/m,Fe^3+ Mg Si O H,Wmt,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
Winstanleyite,Winstanleyite,Winstanleyite,Ti4+Te4+3O8,Ti^4+^Te^4+^_3_O_8_,Ti<sup>4+</sup>Te<sup>4+</sup><sub>3</sub>O<sub>8</sub>,TiTe<sup>4+</sup><sub>3</sub>O<sub>8</sub>,Ti Te O,,4709,1979,Approved,,cubic,I21/a3,Ti^4+ Te^4+ O,Wsn,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
Wiperamingaite,Wiperamingaite,Wiperamingaite,NaCaFe3+Al(PO4)F5(OH)·H2O,NaCaFe^3+^Al(PO_4_)F_5_(OH)·H_2_O,NaCaFe<sup>3+</sup>Al(PO<sub>4</sub>)F<sub>5</sub>(OH)·H<sub>2</sub>O,NaCaFe<sup>3+</sup>Al(PO<sub>4</sub>)F<sub>5</sub>(OH)·H<sub>2</sub>O,Na Ca Fe Al P O F H,,7378,2023,"Approved, Pending publication",Not in a structural group,orthorhombic,P212121,Na Ca Fe^3+ Al P O F H,Wip,
Wiserite,Wiserite,Wiserite,"Mn2+14(B2O5)4(OH)8·(Si,Mg)(O,OH)4Cl","Mn^2+^_14_(B_2_O_5_)_4_(OH)_8_·(Si,Mg)(O,OH)_4_Cl","Mn<sup>2+</sup><sub>14</sub>(B<sub>2</sub>O<sub>5</sub>)<sub>4</sub>(OH)<sub>8</sub>·(Si,Mg)(O,OH)<sub>4</sub>Cl","Mn<sup>2+</sup><sub>14</sub>(B<sub>2</sub>O<sub>5</sub>)<sub>4</sub>(OH)<sub>8</sub>·(Si,Mg)(O,OH)<sub>4</sub>Cl",Mn B O H Si Mg Cl,,4710,1845,"Approved, Grandfathered",,tetragonal,P4/n,Mn^2+ B O H Si Mg Cl,Wis,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Witherite,Witherite,Witherite,BaCO3,BaCO_3_,BaCO<sub>3</sub>,Ba(CO<sub>3</sub>),Ba C O,,4711,1784,"Approved, Grandfathered",Aragonite,orthorhombic,Pmcn,Ba C O,Wth,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Wittichenite,Wittichenite,Wittichenite,Cu1+3Bi3+S2-3,Cu^1+^_3_Bi^3+^S^2-^_3_,Cu<sup>1+</sup><sub>3</sub>Bi<sup>3+</sup>S<sup>2-</sup><sub>3</sub>,Cu<sub>3</sub>BiS<sub>3</sub>,Cu Bi S,,4712,1853,"Approved, Grandfathered",,orthorhombic,P212121,Cu^1+ Bi^3+ S^2-,Wtc,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Wittite,Wittite,Wittite,"Pb2+8Bi3+10(S2-,Se2-)23","Pb^2+^_8_Bi^3+^_10_(S^2-^,Se^2-^)_23_","Pb<sup>2+</sup><sub>8</sub>Bi<sup>3+</sup><sub>10</sub>(S<sup>2-</sup>,Se<sup>2-</sup>)<sub>23</sub>","Pb<sub>8</sub>Bi<sub>10</sub>(S,Se)<sub>23</sub>",Pb Bi S Se,,4713,1924,"Approved, Questionable mineral species",,monoclinic,C2/m,Pb^2+ Bi^3+ S^2- Se^2-,Wit,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
Witzkeite,Witzkeite,Witzkeite,Na4K4Ca(N5+O3)2(S6+O4)4·2H2O,Na_4_K_4_Ca(N^5+^O_3_)_2_(S^6+^O_4_)_4_·2H_2_O,Na<sub>4</sub>K<sub>4</sub>Ca(N<sup>5+</sup>O<sub>3</sub>)<sub>2</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>4</sub>·2H<sub>2</sub>O,Na<sub>4</sub>K<sub>4</sub>Ca(NO<sub>3</sub>)<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>·2H<sub>2</sub>O,Na K Ca N O S H,,6027,2011,Approved,Not in a structural group,monoclinic,C2/c,Na K Ca N^5+ O S^6+ H,Wzk,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals"
Wodegongjieite,Wodegongjieite,Wodegongjieite,KCa3(Al7Si9)O32,KCa_3_(Al_7_Si_9_)O_32_,KCa<sub>3</sub>(Al<sub>7</sub>Si<sub>9</sub>)O<sub>32</sub>,KCa<sub>3</sub>(Al<sub>7</sub>Si<sub>9</sub>)O<sub>32</sub>,K Ca Al Si O,,7229,2022,Approved,Cymrite,hexagonal,P6/mcc,K Ca Al Si O,Wgj,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM38 - Ophiolites"
Wodginite,Wodginite,Wodginite,Mn2+Sn4+Ta5+2O8,Mn^2+^Sn^4+^Ta^5+^_2_O_8_,Mn<sup>2+</sup>Sn<sup>4+</sup>Ta<sup>5+</sup><sub>2</sub>O<sub>8</sub>,Mn<sup>2+</sup>Sn<sup>4+</sup>Ta<sub>2</sub>O<sub>8</sub>,Mn Sn Ta O,,4714,1963,Approved,Columbite,monoclinic,"C2/c, Cc",Mn^2+ Sn^4+ Ta^5+ O,Wdg,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
Wöhlerite,Wohlerite,Wöhlerite,"Na2Ca4Zr4+(Nb5+,Ti4+)(Si2O7)2(O,F)4","Na_2_Ca_4_Zr^4+^(Nb^5+^,Ti^4+^)(Si_2_O_7_)_2_(O,F)_4_","Na<sub>2</sub>Ca<sub>4</sub>Zr<sup>4+</sup>(Nb<sup>5+</sup>,Ti<sup>4+</sup>)(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>(O,F)<sub>4</sub>","Na<sub>2</sub>Ca<sub>4</sub>Zr(Nb,Ti)(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>(O,F)<sub>4</sub>",Na Ca Zr Nb Ti Si O F,,4882,1843,"Approved, Grandfathered",Wöhlerite,monoclinic,P21,Na Ca Zr^4+ Nb^5+ Ti^4+ Si O F,Wöh,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
Wolfeite,Wolfeite,Wolfeite,Fe2+2PO4(OH),Fe^2+^_2_PO_4_(OH),Fe<sup>2+</sup><sub>2</sub>PO<sub>4</sub>(OH),Fe<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)(OH),Fe P O H,,4716,1949,"Approved, Grandfathered",Wagnerite,monoclinic,P21/a,Fe^2+ P O H,Wol,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
Wolfsriedite,Wolfsriedite,Wolfsriedite,Pb2+[(U6+O2)2(W6+Fe3+)O7(OH)](H2O)3,Pb^2+^[(U^6+^O_2_)_2_(W^6+^Fe^3+^)O_7_(OH)](H_2_O)_3_,Pb<sup>2+</sup>[(U<sup>6+</sup>O<sub>2</sub>)<sub>2</sub>(W<sup>6+</sup>Fe<sup>3+</sup>)O<sub>7</sub>(OH)](H<sub>2</sub>O)<sub>3</sub>,Pb[(UO<sub>2</sub>)<sub>2</sub>(W<sup>6+</sup>Fe<sup>3+</sup>)O<sub>7</sub>(OH)](H<sub>2</sub>O)<sub>3</sub>,Pb U O W Fe H,,7566,2025,"Approved, Pending publication",Uranotungstite,monoclinic,P21/m,Pb^2+ U^6+ O W^6+ Fe^3+ H,Wfr,
Wollastonite,Wollastonite,Wollastonite,CaSiO3,CaSiO_3_,CaSiO<sub>3</sub>,CaSiO<sub>3</sub>,Ca Si O,,4717,1818,Approved,Wollastonite,"monoclinic, triclinic","P21/a, C1, P1",Ca Si O,Wo,"Abiotic, Biotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
Wölsendorfite,Wolsendorfite,Wölsendorfite,Pb2+7(U6+O2)14O19(OH)4·12H2O,Pb^2+^_7_(U^6+^O_2_)_14_O_19_(OH)_4_·12H_2_O,Pb<sup>2+</sup><sub>7</sub>(U<sup>6+</sup>O<sub>2</sub>)<sub>14</sub>O<sub>19</sub>(OH)<sub>4</sub>·12H<sub>2</sub>O,Pb<sub>7</sub>(UO<sub>2</sub>)<sub>14</sub>O<sub>19</sub>(OH)<sub>4</sub>·12H<sub>2</sub>O,Pb U O H,,4718,1957,"Approved, Grandfathered",Wölsendorfite,orthorhombic,Cmcm,Pb^2+ U^6+ O H,Wsd,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
