source_index,target_index,neighbor_rank,distance
1833,312,7,1.2055849828055658
1833,323,8,1.2071672409153473
1833,2319,9,1.2690836363762201
1833,5922,10,1.283960832339456
1834,2740,1,0.6448444279512607
1834,4340,2,0.748052840466649
1834,1649,3,0.754315096877562
1834,3485,4,0.7646110913399999
1834,1648,5,0.7729081712264082
1834,1650,6,0.7729081712264082
1834,3748,7,0.7940810759380175
1834,5786,8,0.8223402016728939
1834,4044,9,0.8354438331296082
1834,4385,10,0.8753344696747845
1835,3312,1,0.9204233910391757
1835,915,2,0.9307804162536215
1835,1633,3,0.9314219507234166
1835,2372,4,0.9322190322963075
1835,224,5,0.9355386637541668
1835,3944,6,0.9357451334535482
1835,4205,7,0.9363832665047881
1835,3598,8,0.9561868547215221
1835,1425,9,0.9561868547215221
1835,1977,10,0.9607723169702992
1836,2875,1,0.1907303589055039
1836,1034,2,0.7366899641016491
1836,2032,3,0.8727563870663924
1836,2253,4,0.8951565650658211
1836,3632,5,0.9028252607841961
1836,2527,6,0.9484242379917646
1836,5132,7,0.9617728180790991
1836,3507,8,0.9727909224416312
1836,4755,9,1.040801489997361
1836,2113,10,1.044793475053149
1837,4351,1,0.8175936196613675
1837,1057,2,1.1337969932344891
1837,1126,3,1.1337969932344891
1837,2448,4,1.1337969932344891
1837,4000,5,1.1337969932344891
1837,3852,6,1.4062925777764315
1837,5891,7,1.5788961840696554
1837,326,8,1.5989843407614068
1837,1082,9,1.7381808820415
1837,4732,10,1.8982883100560617
1838,1839,1,0.05034511042169688
1838,5892,2,1.3223079506252262
1838,1994,3,1.7276758456707855
1838,4489,4,1.7551251094308806
1838,1970,5,1.7962973640219861
1838,1971,6,1.9419036116495
1838,5691,7,1.9853173625796765
1838,5241,8,2.0452528216460437
1838,846,9,2.0499272120882313
1838,3390,10,2.2306349021327936
1839,1838,1,0.05034511042169688
1839,5892,2,1.3205950844626348
1839,1994,3,1.7176158087671725
1839,4489,4,1.7558153919493398
1839,1970,5,1.7979532373867393
1839,1971,6,1.9422449943099656
1839,5691,7,1.984776633172889
1839,5241,8,2.0340559710884913
1839,846,9,2.0408727545482646
1839,3390,10,2.2228257335768458
1840,3703,1,0.17522648003674524
1840,5290,2,0.21839142257450186
1840,1898,3,0.2380854886018165
1840,1897,4,0.25959791135445026
1840,1860,5,0.2685605365561412
1840,4461,6,0.2916711694977774
1840,6114,7,0.3858821970977525
1840,247,8,0.4263162859669461
1840,93,9,0.46198142490384614
1840,3767,10,0.513649690039929
1841,1887,1,0.5394060925670027
1841,1748,2,0.7152302777378332
1841,1809,3,0.7564087121113248
1841,4522,4,0.7729603551727295
1841,4514,5,0.7754056221681785
1841,5989,6,0.9216859536142191
1841,30,7,0.9820479644248609
1841,4148,8,0.9877582629909046
1841,1740,9,1.0054628485328185
1841,6013,10,1.0515819601905159
1842,5344,1,0.27811082574635837
1842,1040,2,0.46198142490378463
1842,2335,3,0.5370626533839943
1842,1860,4,0.8011215432292187
1842,4461,5,0.805656300980207
1842,1897,6,0.807735853249847
1842,1898,7,0.812033805907723
1842,3703,8,0.8189285273448275
1842,5290,9,0.8252167892582246
1842,1840,10,0.8441159151240615
1843,808,1,0.5460327458129242
1843,476,2,0.766543697354217
1843,777,3,0.8484869993343104
1843,4258,4,0.8485270229267643
1843,4053,5,0.8597301816559083
1843,3144,6,0.8627453120762782
1843,3775,7,0.8695680998598043
1843,5378,8,0.8912498379449171
1843,359,9,0.9077300083000904
1843,4462,10,0.9103847341361513
1844,2493,1,0.046641481823278715
1844,2518,2,0.18385320215988654
1844,1846,3,0.2421514126496528
1844,1845,4,0.7202464026644927
1844,3256,5,0.7701073819879138
1844,2394,6,0.8668270282722085
1844,721,7,0.8691517912315276
1844,3255,8,0.9093447157511073
1844,2660,9,0.9683436131666757
1844,5998,10,0.9849420362944897
1845,1844,1,0.7202464026644927
1845,2493,2,0.7218927234481098
1845,2518,3,0.7440178178722926
1845,1846,4,0.7604628541763621
